x_m,y_m,z_m,u_ms,v_ms,w_ms,speed_ms
1.000000000000000056e-01,1.000000000000000056e-01,1.041666666666666713e-01,-4.645820198448655236e-03,4.613461440969015767e-03,3.371083116276457788e-05,6.547427602025019007e-03
1.000000000000000056e-01,1.000000000000000056e-01,3.125000000000000555e-01,-4.755029086714311105e-03,4.835735954855830548e-03,-1.664542749771002962e-05,6.781955537368344368e-03
1.000000000000000056e-01,1.000000000000000056e-01,5.208333333333333703e-01,-4.936729772597517156e-03,5.207302796608282401e-03,-3.825600846064173546e-04,7.185656231796038428e-03
1.000000000000000056e-01,1.000000000000000056e-01,7.291666666666667407e-01,-5.173747656548055747e-03,5.641934917581305567e-03,-1.152105822171664356e-03,7.741217104134305235e-03
1.000000000000000056e-01,1.000000000000000056e-01,9.375000000000001110e-01,-5.428170883641396556e-03,6.035421516154351046e-03,-2.272361771774249629e-03,8.429411607075082413e-03
1.000000000000000056e-01,1.000000000000000056e-01,1.145833333333333703e+00,-5.659797496250732612e-03,6.293436468522150239e-03,-3.564962785839093963e-03,9.184204371980636897e-03
1.000000000000000056e-01,1.000000000000000056e-01,1.354166666666666963e+00,-5.841225947688391540e-03,6.348233552055181084e-03,-4.753138573753512217e-03,9.849483037433531124e-03
1.000000000000000056e-01,1.000000000000000056e-01,1.562500000000000222e+00,-5.962549456168237880e-03,6.179531008819081142e-03,-5.507291596859194976e-03,1.020141461950471902e-02
1.000000000000000056e-01,1.000000000000000056e-01,1.770833333333333703e+00,-6.030990439246691065e-03,5.842140024721538191e-03,-5.536587783801645915e-03,1.005769605995726970e-02
1.000000000000000056e-01,1.000000000000000056e-01,1.979166666666667185e+00,-6.062849092913240832e-03,5.443881470927528984e-03,-4.695103038989532906e-03,9.404146805514880872e-03
1.000000000000000056e-01,1.000000000000000056e-01,2.187500000000000444e+00,-6.055527914304405408e-03,5.089006934384832613e-03,-3.043549400892406939e-03,8.475293673661656035e-03
1.000000000000000056e-01,1.000000000000000056e-01,2.395833333333333481e+00,-5.634908096026251291e-03,4.657261485475708458e-03,-1.018378112308269360e-03,7.381014007193466286e-03
1.000000000000000056e-01,2.999999999999999889e-01,1.041666666666666713e-01,-4.669000181331656694e-03,1.362202173562184968e-02,2.853174017603118061e-04,1.440279295410360448e-02
1.000000000000000056e-01,2.999999999999999889e-01,3.125000000000000555e-01,-4.802157093635874702e-03,1.436910575103100829e-02,6.795147472209042781e-04,1.516554163648500993e-02
1.000000000000000056e-01,2.999999999999999889e-01,5.208333333333333703e-01,-5.026791666791005295e-03,1.562470295545860186e-02,5.974496549841719394e-04,1.642427846201704317e-02
1.000000000000000056e-01,2.999999999999999889e-01,7.291666666666667407e-01,-5.318690955652930971e-03,1.710982972839493119e-02,-1.219037561407508715e-04,1.791785721960559644e-02
1.000000000000000056e-01,2.999999999999999889e-01,9.375000000000001110e-01,-5.628883263118099681e-03,1.847194134709026492e-02,-1.454707660162512508e-03,1.936525544103897059e-02
1.000000000000000056e-01,2.999999999999999889e-01,1.145833333333333703e+00,-5.902685479100980639e-03,1.937649305339043948e-02,-3.182995784301318430e-03,2.050418594034295050e-02
1.000000000000000056e-01,2.999999999999999889e-01,1.354166666666666963e+00,-6.103939885531715730e-03,1.957678135978977926e-02,-4.915612938587318737e-03,2.108724024373992423e-02
1.000000000000000056e-01,2.999999999999999889e-01,1.562500000000000222e+00,-6.221114803088444514e-03,1.898881521285636365e-02,-6.150000493322985845e-03,2.090693374574770919e-02
1.000000000000000056e-01,2.999999999999999889e-01,1.770833333333333703e+00,-6.269377478050397468e-03,1.782369535207611530e-02,-6.440284550683900502e-03,1.996162506059271161e-02
1.000000000000000056e-01,2.999999999999999889e-01,1.979166666666667185e+00,-6.276281938018828284e-03,1.647434330174177633e-02,-5.586468100780148799e-03,1.849335902507112661e-02
1.000000000000000056e-01,2.999999999999999889e-01,2.187500000000000444e+00,-6.241336060066123188e-03,1.528866428545424053e-02,-3.690234627409179000e-03,1.692085586054486307e-02
1.000000000000000056e-01,2.999999999999999889e-01,2.395833333333333481e+00,-5.731215686638020321e-03,1.383976448745902546e-02,-1.256219332774126873e-03,1.503209903264122321e-02
1.000000000000000056e-01,5.000000000000000000e-01,1.041666666666666713e-01,-4.740017824817687256e-03,2.196906698456518522e-02,8.209115375988592159e-04,2.248958801099887675e-02
1.000000000000000056e-01,5.000000000000000000e-01,3.125000000000000555e-01,-4.922014235469773617e-03,2.348356098127380581e-02,2.168066546167375392e-03,2.409158303316705566e-02
1.000000000000000056e-01,5.000000000000000000e-01,5.208333333333333703e-01,-5.231991057389698968e-03,2.605062059072888597e-02,2.711153134021327456e-03,2.670877973443989278e-02
1.000000000000000056e-01,5.000000000000000000e-01,7.291666666666667407e-01,-5.632135976820791708e-03,2.914167447305712061e-02,2.130337809502361353e-03,2.975729298739425779e-02
1.000000000000000056e-01,5.000000000000000000e-01,9.375000000000001110e-01,-6.050478988625439952e-03,3.203904665111472622e-02,3.706688269765408446e-04,3.260745622834439889e-02
1.000000000000000056e-01,5.000000000000000000e-01,1.145833333333333703e+00,-6.401600168881111698e-03,3.401298087184437963e-02,-2.296833041111944439e-03,3.468629116134231555e-02
1.000000000000000056e-01,5.000000000000000000e-01,1.354166666666666963e+00,-6.632787376449735331e-03,3.447219446900069706e-02,-5.242234238183440115e-03,3.549376113766722352e-02
1.000000000000000056e-01,5.000000000000000000e-01,1.562500000000000222e+00,-6.726740385053243780e-03,3.316878823564803347e-02,-7.539937687779368208e-03,3.467373948054586902e-02
